CLIENT_IP_ADDRESS SERVER_IP_ADDRESS CLIENT_L4_PORT SERVER_L4_PORT TIME_ABS_START TIME_REL_START TIME_REL_END TIME_BIN_DELTA C_PKTS_ALL C_RSTS_PKTS C_ACKS_PKTS C_PURE_ACKS_PKTS C_BYTES C_PKTS_WITH_DATA C_BYTES_ALL C_PKTS_RETX C_BYTS_RETX S_PKTS_ALL S_RSTS_PKTS S_ACKS_PKTS S_PURE_ACKS_PKTS S_BYTES S_PKTS_WITH_DATA S_BYTES_ALL S_PKTS_RETX S_BYTS_RETX
192.168.2.55 63.140.62.222 59995 443 45455.773681640625 0.0 345.652 345.652 5 0 4 2 581 2 581 0 0 6 0 6 2 4000 3 4000 0 0
192.168.2.55 101.62.213.61 60015 443 50773.08984375 3069.739 3235.066 165.327 143 0 143 143 0 0 0 0 0 189 0 189 0 723521 189 723521 0 0
192.168.2.55 101.62.213.61 60017 443 49785.9248046875 2000.71 2871.152 870.442 59 0 59 58 250 1 250 0 0 76 0 76 1 237529 75 237529 0 0
192.168.2.55 13.107.42.14 60024 443 56771.27587890625 0.0 896.061 896.061 6 0 5 2 887 3 887 0 0 7 0 7 3 4197 3 4197 0 0
192.168.2.55 23.40.140.194 59934 443 43475.07568359375 30351.732 30463.324 111.592 2 0 2 1 540 1 540 0 0 1 0 1 0 605 1 605 0 0
192.168.2.55 13.107.42.14 60024 443 58110.1328125 1338.857 1723.625 384.768 7 0 7 6 0 0 0 0 0 10 0 10 1 20022 8 20022 0 0
192.168.2.55 23.194.176.111 59941 443 13522.11279296875 0.0 527.118 527.118 8 0 7 4 1237 3 1237 0 0 8 0 8 1 5361 6 5860 1 499
192.168.2.55 23.194.176.111 59939 443 13521.74267578125 0.0 535.106 535.106 8 0 7 4 1241 3 1241 0 0 8 0 8 1 5361 6 5859 1 498
192.168.2.55 23.194.176.111 59936 443 13521.065673828125 0.0 528.297 528.297 8 0 7 4 1236 3 1236 0 0 8 0 8 1 5363 6 5861 1 498
192.168.2.55 23.194.176.111 59937 443 13521.386474609375 0.0 528.008 528.008 8 0 7 4 1243 3 1243 0 0 8 0 8 1 5373 6 5873 1 500
192.168.2.55 23.194.176.111 59938 443 13521.56787109375 0.0 527.581 527.581 8 0 7 4 1238 3 1238 0 0 8 0 8 1 5355 6 5854 1 499
192.168.2.55 23.194.176.111 59940 443 13521.927734375 0.0 527.449 527.449 8 0 7 4 1238 3 1238 0 0 8 0 8 1 5359 6 5858 1 499
192.168.2.55 157.240.203.174 60025 443 58453.7158203125 0.0 751.235 751.235 44 0 43 39 751 3 751 0 0 72 0 72 4 102117 66 102117 0 0
192.168.2.55 13.226.244.39 59977 443 49592.52783203125 28781.91 28982.342 200.432 3 0 3 1 1391 2 1391 0 0 5 0 5 2 1629 3 1629 0 0
192.168.2.55 52.223.29.147 60019 443 49796.185791015625 0.0 919.295 919.295 12 0 11 5 2519 6 2519 0 0 14 0 14 6 5729 7 6368 1 639
192.168.2.55 151.101.241.140 60026 443 60162.513671875 0.0 140.326 140.326 8 1 7 3 748 3 748 0 0 8 0 8 3 5424 4 5424 0 0
192.168.2.55 63.140.62.222 59992 443 51317.977783203125 6030.55 6075.452 44.902 1 0 1 1 0 0 0 0 0 1 0 1 0 61 1 61 0 0
192.168.2.55 151.101.241.140 60027 443 60305.15478515625 0.0 457.376 457.376 23 0 22 19 835 3 835 0 0 61 0 61 3 75299 57 75299 0 0
192.168.2.55 151.101.241.140 60027 443 61564.807861328125 1259.653 1366.821 107.168 9 1 9 7 0 0 0 0 0 96 0 96 1 29030 95 30430 1 1400
192.168.2.55 92.123.101.120 59947 443 16818.415771484375 0.0 379.431 379.431 15 0 14 11 1218 3 1218 0 0 17 0 17 1 41955 15 41955 0 0
192.168.2.55 23.51.48.42 59954 443 17371.178466796875 0.0 421.192 421.192 11 0 10 6 1981 4 1981 0 0 12 0 12 1 11805 10 12303 1 498
192.168.2.55 23.51.48.42 59957 443 17373.647705078125 0.0 417.886 417.886 12 0 11 7 1981 4 1981 0 0 12 0 12 1 8883 10 9383 1 500
192.168.2.55 23.51.48.42 59952 443 17370.57470703125 0.0 425.364 425.364 10 0 9 5 1981 4 1981 0 0 11 0 11 1 8906 9 9405 1 499
192.168.2.55 23.51.48.42 59956 443 17372.90283203125 0.0 423.994 423.994 11 0 10 6 1981 4 1981 0 0 11 0 11 1 11459 9 11959 1 500
192.168.2.55 23.51.48.42 59955 443 17371.353759765625 0.0 420.099 420.099 11 0 10 6 2009 4 2009 0 0 12 0 12 1 8880 10 9379 1 499
192.168.2.55 23.51.48.42 59953 443 17370.896484375 0.0 457.39 457.39 10 0 9 5 1981 4 1981 0 0 11 0 11 1 8721 9 9220 1 499
192.168.2.55 23.51.48.42 59966 443 18102.140869140625 0.0 537.902 537.902 11 0 10 6 1348 4 1865 1 517 11 0 11 4 5377 6 5876 1 499
192.168.2.55 23.51.48.42 59963 443 18101.356689453125 0.0 546.692 546.692 10 0 9 5 1353 4 1870 1 517 11 0 11 4 5382 6 5881 1 499
192.168.2.55 23.214.205.236 59960 443 17954.99267578125 0.0 657.305 657.305 66 0 65 62 1267 3 1267 0 0 75 0 75 1 264604 73 266004 1 1400
192.168.2.55 23.51.48.42 59965 443 18101.81689453125 0.0 626.914 626.914 11 0 10 6 1347 4 1864 1 517 11 0 11 4 5376 6 5875 1 499
192.168.2.55 23.51.48.42 59967 443 18102.71484375 0.0 576.887 576.887 13 0 12 8 1345 4 1862 1 517 16 0 16 4 16314 11 16813 1 499
192.168.2.55 23.51.48.42 59964 443 18101.65087890625 0.0 648.775 648.775 10 0 9 5 1352 4 1869 1 517 11 0 11 4 5380 6 5878 1 498
192.168.2.55 2.22.32.177 59959 443 18956.6376953125 1007.536 1009.399 1.863 8 0 8 8 0 0 0 0 0 9 0 9 0 22273 9 22273 0 0
192.168.2.55 2.22.33.86 60028 443 63157.8125 0.0 959.181 959.181 32 1 31 26 746 3 746 0 0 38 0 38 3 82964 34 82964 0 0
192.168.2.55 63.140.62.27 59961 443 54637.897705078125 36598.432 36860.026 261.594 2 0 2 0 882 2 882 0 0 2 0 2 1 211 1 211 0 0
192.168.2.55 54.74.73.31 60029 443 64197.829833984375 0.0 664.122 664.122 6 0 5 2 765 3 765 0 0 4 0 4 1 2933 2 2933 0 0
192.168.2.55 104.244.42.129 60022 443 54013.11083984375 0.0 501.264 501.264 8 0 7 4 761 3 761 0 0 11 0 11 3 9387 7 9387 0 0
192.168.2.55 104.244.42.129 60022 443 65324.83984375 11311.729 11392.08 80.351 2 1 2 0 0 0 0 0 0 2 0 2 1 24 1 24 0 0
192.168.2.55 23.40.157.96 59968 443 20542.33251953125 2298.678 2562.054 263.376 6 0 6 3 1714 3 1714 0 0 8 0 8 0 15052 8 15052 0 0
192.168.2.55 23.40.157.96 59950 443 20545.48046875 3380.422 3640.219 259.797 8 0 8 5 1713 3 1713 0 0 8 0 8 0 14594 8 14594 0 0
192.168.2.55 23.40.157.96 59970 443 20530.9208984375 2283.078 2603.722 320.644 8 0 8 5 1714 3 1714 0 0 8 0 8 0 16008 8 16008 0 0
192.168.2.55 23.40.157.96 59971 443 20537.537841796875 2288.491 2596.684 308.193 10 0 10 6 2284 4 2284 0 0 10 0 10 0 22455 10 22455 0 0
192.168.2.55 23.40.157.96 59972 443 20534.561767578125 2283.021 2593.532 310.511 9 0 9 5 2284 4 2284 0 0 9 0 9 0 19272 9 19272 0 0
192.168.2.55 63.140.62.222 59995 443 55821.130859375 10365.357 10365.401 0.044 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
192.168.2.55 151.101.242.167 60030 443 65399.350830078125 0.0 562.761 562.761 14 1 13 8 747 3 747 0 0 34 0 34 4 52365 29 52365 0 0
192.168.2.55 54.74.73.31 60029 443 65258.3525390625 1060.523 1965.473 904.95 72 0 72 70 922 1 922 0 0 90 0 90 4 311888 85 311888 0 0
192.168.2.55 101.62.213.61 60015 443 57584.476806640625 9881.126 10798.525 917.399 559 0 559 557 496 2 496 0 0 639 0 639 2 3167791 637 3167791 0 0
192.168.2.55 101.62.213.61 60017 443 57669.877685546875 9884.663 10699.146 814.483 40 0 40 37 496 3 746 1 250 55 0 55 3 191520 52 191520 0 0
192.168.2.55 23.51.49.221 60031 443 68084.60375976562 0.0 392.78 392.78 15 1 14 9 767 3 767 0 0 15 0 15 1 17899 11 17899 1 0
192.168.2.55 13.226.244.39 59977 443 59617.51171875 38806.894 38888.2 81.306 2 0 2 1 1392 1 1392 0 0 3 0 3 1 1630 2 1630 0 0
192.168.2.55 52.223.29.147 60019 443 59711.81689453125 9915.631 10010.752 95.121 4 0 4 1 1456 3 1456 0 0 5 0 5 3 360 2 360 0 0
192.168.2.55 52.223.29.147 60019 443 69755.23388671875 19959.048 19994.574 35.526 5 0 5 2 1415 2 1415 0 0 6 0 6 3 77 2 77 0 0
192.168.2.55 23.214.204.249 60033 443 70185.71850585938 0.0 272.759 272.759 22 1 21 16 763 3 763 0 0 24 0 24 3 45377 20 45377 0 0
192.168.2.55 63.140.62.222 59992 443 61133.29052734375 15845.863 16384.619 538.756 4 0 4 2 622 2 1244 1 622 4 0 4 2 61 2 122 1 61
192.168.2.55 140.82.121.4 60034 443 72353.7197265625 0.0 701.317 701.317 6 0 5 2 748 3 748 0 0 4 0 4 1 3499 2 3499 0 0
192.168.2.55 23.40.140.194 59934 443 58476.107666015625 45352.764 45618.563 265.799 2 0 2 1 540 1 540 0 0 1 0 1 0 605 1 605 0 0
192.168.2.55 140.82.121.4 60034 443 73456.81884765625 1103.099 1796.824 693.725 3 1 3 1 0 0 0 0 0 6 0 6 3 288 3 288 0 0
192.168.2.55 140.82.121.4 60035 443 73479.15576171875 0.0 671.439 671.439 11 1 10 5 744 3 744 0 0 13 0 13 4 53393 8 53393 0 0
192.168.2.55 172.64.155.249 60036 443 73933.93481445312 0.0 638.133 638.133 39 0 38 35 771 3 771 0 0 46 0 46 3 187572 42 187572 0 0
192.168.2.55 63.140.62.27 59961 443 64858.65576171875 46819.19 46819.259 0.069 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
192.168.2.55 172.64.155.249 60036 443 74992.728515625 1058.794 1097.724 38.93 2 0 2 1 0 0 0 0 0 2 0 2 1 0 0 0 0 0
192.168.2.55 104.18.32.7 60037 443 74574.07983398438 0.0 457.636 457.636 22 0 21 17 977 3 977 0 0 41 0 41 4 54161 35 54161 0 0
192.168.2.55 63.140.62.222 59995 443 65959.08447265625 20503.311 20503.355 0.044 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 0 0
192.168.2.55 101.62.213.61 60015 443 67584.27685546875 19880.926 20643.641 762.715 640 0 640 638 496 2 496 0 0 699 0 699 2 3647361 697 3647361 0 0
192.168.2.55 142.251.209.46 60038 443 76595.8017578125 0.0 752.771 752.771 6 0 5 2 765 3 765 0 0 4 0 4 1 6858 2 6858 0 0
192.168.2.55 101.62.213.61 60017 443 67631.32177734375 19846.107 20323.502 477.395 62 0 62 60 496 2 496 0 0 95 0 95 2 191666 93 191666 0 0
192.168.2.55 142.251.209.46 60038 443 77656.421875 1060.62 1794.533 733.913 37 0 37 36 0 0 0 0 0 48 0 48 3 139192 44 139192 0 0
